customerID,Last Name,First Name,Age,Gender,Profession,Email,Phone,City,Address,Annual_Income,Registration_Date,Spending_Score,Work_Experience,Is_Married,Family_Size
1,Riley,Jose,79.0,Male,,elam@example.org,,,"12160 Elizabeth Turnpike Apt. 925
Lake Andrewview, KS 18740",173685.0,2023-01-30,42.0,23.0,True,
2,Nguyen,Sabrina,19.0,Undisclosed,Equality and diversity officer,porterchristina@example.net,(664)649-1796,,"864 Martin Harbors
Lake Ryanmouth, MD 48267",181793.0,2023-06-30,40.0,21.0,False,4.0
3,Reed,Jonathan,84.0,Female,Consulting civil engineer,,,Fryeshire,"61489 Amanda Run
Rachelland, WV 96406",36451.0,2023-11-03,44.0,24.0,True,
4,Santos,Chad,20.0,Undisclosed,Dentist,jeremy99@example.net,+1-730-550-5913x687,South Jamesborough,"52740 Gerald Tunnel
Port Sarah, OK 52844",137414.0,,17.0,,True,7.0
5,Wilson,Christine,74.0,Male,Printmaker,jennifer60@example.com,302.645.4338x62617,Sharonbury,,31425.0,2023-02-04,69.0,1.0,True,
6,Bailey,Daniel,40.0,Undisclosed,"Surveyor, hydrographic",davidchambers@example.org,,East Francis,,61527.0,2023-07-23,32.0,13.0,False,2.0
7,Rodriguez,Meagan,43.0,Male,Research scientist (life sciences),castilloalicia@example.org,,Kennedymouth,"61085 Jasmine Orchard Apt. 795
Chadborough, FM 63516",185576.0,,9.0,,True,7.0
8,Romero,Larry,,Female,"Production designer, theatre/television/film",nkennedy@example.net,+1-466-265-7655x7959,Anthonyberg,"3676 Tara Greens Apt. 796
Marshallton, MD 92120",73164.0,,41.0,16.0,False,6.0
9,Black,Lisa,59.0,Female,Emergency planning/management officer,jacksonpatrick@example.net,(344)910-6869x6560,Lake Sarahside,,146093.0,2023-09-03,41.0,21.0,True,5.0
10,Phelps,Matthew,67.0,Female,Risk manager,fcarter@example.com,,Snyderburgh,"USCGC Richardson
FPO AE 40035",158581.0,2023-05-07,30.0,30.0,False,9.0
11,Morales,Brianna,68.0,Male,Brewing technologist,,,Conwaymouth,"594 Megan Streets Apt. 375
Port Courtneyhaven, GU 76313",152959.0,,24.0,2.0,False,8.0
12,Olson,Alexandria,87.0,Female,,victoriaspears@example.com,,Tammyhaven,"4917 Nina Road
Ericstad, MP 85516",24471.0,2023-01-14,61.0,16.0,False,4.0
13,Cooper,Kimberly,57.0,Female,Chartered management accountant,angelabowen@example.com,920-976-3600x6562,,"PSC 8458, Box 0079
APO AA 63209",157932.0,2023-07-03,42.0,,False,4.0
14,Nichols,Tiffany,70.0,Male,"Psychologist, counselling",thomasjohnson@example.net,(509)332-1478x27327,Leonardfurt,"494 Wiggins Junctions
Meyersfort, NH 17088",97089.0,2023-05-29,70.0,21.0,False,
15,Fox,Belinda,85.0,Female,"Designer, blown glass/stained glass",erikabrown@example.com,001-356-784-8906,Jessicafurt,"USS Mendez
FPO AP 25803",71605.0,2023-10-31,45.0,14.0,False,
16,Garner,Amber,71.0,Male,Museum/gallery curator,vincentharvey@example.org,(657)233-5579x4677,South Melissaton,"360 Justin Lane
East Michaelmouth, MI 18456",177007.0,2023-06-09,,23.0,True,4.0
17,Shelton,Julia,29.0,Male,Medical sales representative,marciatravis@example.org,,Lake Tiffanyborough,,,2023-01-22,80.0,22.0,False,1.0
18,Anderson,Emily,19.0,Female,Waste management officer,qweber@example.com,712.440.5940,North Joy,"20853 Stephen Common Suite 666
Shermanview, HI 27317",24869.0,2023-04-07,20.0,,False,1.0
19,Perry,Mary,79.0,Undisclosed,"Teacher, primary school",phillipsstephanie@example.org,,Port John,"803 Daniel Pines Apt. 580
Loganside, PW 77873",186565.0,2022-11-18,78.0,16.0,,6.0
20,Jones,Spencer,67.0,Undisclosed,"Scientist, product/process development",mcclurederrick@example.net,,South Katherinetown,,,2023-01-21,2.0,20.0,False,1.0
21,Mcgee,Elizabeth,81.0,Male,"Librarian, academic",jgarrison@example.org,(380)915-7746,North Brad,"029 Mills Shoals
Zimmermanburgh, PA 53589",,,63.0,9.0,False,2.0
22,Rivera,Samuel,79.0,Female,"Designer, furniture",jonathankent@example.com,(826)943-5325x71268,North Nathan,"66893 Berry Crossroad
Connieville, GA 02787",184001.0,2022-12-22,22.0,,True,8.0
